Name	Chao1	Faith_pd	Goods_coverage	Observed_species	Pielou_e	Shannon	Simpson
wu0102	3595.14	281.414	0.980878	3354.5	0.875092	10.249	0.997604
wu0103	3325.13	293.587	0.984903	3194.9	0.85516	9.95539	0.995306
wu0104	3925.7	287.268	0.988074	3861.5	0.907411	10.8117	0.998758
wu0105	4397.32	319.206	0.973024	3802.7	0.89276	10.6174	0.998326
wu0106	4288.56	344.698	0.975193	3805.5	0.890444	10.5908	0.998062
wu0107	5274.59	337.315	0.967022	4596.3	0.898942	10.9367	0.997966
wu0108	3668.79	281.276	0.976575	3333.9	0.829583	9.7086	0.995367
wu0109	5416.76	374.702	0.964273	4741.7	0.911783	11.1339	0.998979
wu0110	3902.87	312.639	0.974184	3328.5	0.842136	9.85352	0.99509
wu0111	5162.1	380.317	0.964985	4439.5	0.897193	10.8705	0.998431
wu0112	4343.04	311.4	0.97245	3719.8	0.88943	10.5495	0.997986
wu0113	3723.12	302.573	0.977534	3271.4	0.877105	10.2408	0.997815
wu0114	3145.81	274.74	0.983793	2879.7	0.862941	9.91665	0.996699
wu0115	5206.87	373.127	0.964787	4459.7	0.904452	10.9644	0.998815
wu0116	4110.96	324.73	0.974964	3662.9	0.88842	10.5178	0.998028
wu0117	4743.36	368.169	0.970523	4259.2	0.893446	10.7717	0.998283
wu0118	4793.91	323.55	0.975328	4518.3	0.912791	11.0827	0.998897
wu0119	4452.87	337.867	0.971629	3917.3	0.875171	10.4457	0.996324
wu0120	4644.5	322.384	0.970664	4013.7	0.896761	10.7349	0.998457
wu0121	3947.06	282.119	0.979791	3720.1	0.886543	10.5154	0.997788
