Name	W2	W3	W4	W5	W6	W7	W8	W9	W10	W11	W12	W13	W14	W15	W16	W17	W18	W19	W20	W21
W2	0	0.863787375	0.807120918	0.85673541	0.843415032	0.825017238	0.869742368	0.809032784	0.88810882	0.777910111	0.77471322	0.878549489	0.887168558	0.726477778	0.753651351	0.780448818	0.860809879	0.780041372	0.690277691	0.80928352
W3	0.863787375	0	0.92358804	0.74879333	0.710900771	0.960446311	0.855262333	0.943897699	0.624647402	0.871685576	0.721525732	0.72437786	0.716824422	0.842882217	0.805835893	0.894314549	0.978279947	0.868018555	0.877013728	0.899203911
W4	0.807120918	0.92358804	0	0.87688836	0.898890491	0.758478029	0.91979565	0.746254623	0.921676174	0.792578198	0.835610857	0.901554567	0.915971918	0.81458033	0.837460039	0.800852504	0.76167492	0.85187739	0.797561587	0.760515264
W5	0.85673541	0.74879333	0.87688836	0	0.582335611	0.89478468	0.834545227	0.903466433	0.656929731	0.783269604	0.584842976	0.579922272	0.587757789	0.74302639	0.748260515	0.806306024	0.945214066	0.744812888	0.774995299	0.861342694
W6	0.843415032	0.710900771	0.898890491	0.582335611	0	0.910957187	0.830063311	0.906945402	0.636212625	0.807089576	0.623519087	0.597411145	0.586065317	0.755594559	0.737196765	0.822102426	0.954428634	0.761298815	0.786309785	0.888986398
W7	0.825017238	0.960446311	0.758478029	0.89478468	0.910957187	0	0.928477402	0.656678995	0.942518649	0.722998809	0.865793268	0.929480349	0.935905472	0.773866984	0.840750956	0.72710462	0.679339309	0.863662007	0.73393719	0.802858397
W8	0.869742368	0.855262333	0.91979565	0.834545227	0.830063311	0.928477402	0	0.895223469	0.821914373	0.836989908	0.756566163	0.824703817	0.830815521	0.796558641	0.758822792	0.833448254	0.96724754	0.788629098	0.85839654	0.905033536
W9	0.809032784	0.943897699	0.746254623	0.903466433	0.906945402	0.656678995	0.895223469	0	0.926346142	0.657995361	0.8389958	0.92267912	0.927443114	0.707233749	0.780229424	0.678931862	0.723437598	0.851156522	0.720460102	0.78471134
W10	0.88810882	0.624647402	0.921676174	0.656929731	0.636212625	0.942518649	0.821914373	0.926346142	0	0.815332539	0.640130383	0.610512129	0.570080863	0.811728202	0.773710274	0.837240644	0.968438538	0.811352097	0.849777471	0.898169623
W11	0.777910111	0.871685576	0.792578198	0.783269604	0.807089576	0.722998809	0.836989908	0.657995361	0.815332539	0	0.701748887	0.811822228	0.839998746	0.622641509	0.699648969	0.583934056	0.814862408	0.778286216	0.660157964	0.759324265
W12	0.77471322	0.721525732	0.835610857	0.584842976	0.623519087	0.865793268	0.756566163	0.8389958	0.640130383	0.701748887	0	0.609979314	0.651225475	0.648153952	0.638625964	0.724973359	0.91525105	0.669027769	0.679213941	0.819845797
W13	0.878549489	0.72437786	0.901554567	0.579922272	0.597411145	0.929480349	0.824703817	0.92267912	0.610512129	0.811822228	0.609979314	0	0.547639942	0.777220585	0.777314612	0.850153576	0.963016361	0.794176644	0.833072149	0.890146054
W14	0.887168558	0.716824422	0.915971918	0.587757789	0.586065317	0.935905472	0.830815521	0.927443114	0.570080863	0.839998746	0.651225475	0.547639942	0	0.797780982	0.789287281	0.862000878	0.966808751	0.803297185	0.841221087	0.915689839
W15	0.726477778	0.842882217	0.81458033	0.74302639	0.755594559	0.773866984	0.796558641	0.707233749	0.811728202	0.622641509	0.648153952	0.777220585	0.797780982	0	0.574876199	0.616874569	0.851908732	0.680530308	0.59415157	0.788409704
W16	0.753651351	0.805835893	0.837460039	0.748260515	0.737196765	0.840750956	0.758822792	0.780229424	0.773710274	0.699648969	0.638625964	0.777314612	0.789287281	0.574876199	0	0.669905347	0.901335172	0.69359995	0.664890616	0.817871247
W17	0.780448818	0.894314549	0.800852504	0.806306024	0.822102426	0.72710462	0.833448254	0.678931862	0.837240644	0.583934056	0.724973359	0.850153576	0.862000878	0.616874569	0.669905347	0	0.816241459	0.755406507	0.620165486	0.783677051
W18	0.860809879	0.978279947	0.76167492	0.945214066	0.954428634	0.679339309	0.96724754	0.723437598	0.968438538	0.814862408	0.91525105	0.963016361	0.966808751	0.851908732	0.901335172	0.816241459	0	0.911803423	0.820472638	0.846831317
W19	0.780041372	0.868018555	0.85187739	0.744812888	0.761298815	0.863662007	0.788629098	0.851156522	0.811352097	0.778286216	0.669027769	0.794176644	0.803297185	0.680530308	0.69359995	0.755406507	0.911803423	0	0.696358052	0.85839654
W20	0.690277691	0.877013728	0.797561587	0.774995299	0.786309785	0.73393719	0.85839654	0.720460102	0.849777471	0.660157964	0.679213941	0.833072149	0.841221087	0.59415157	0.664890616	0.620165486	0.820472638	0.696358052	0	0.78881715
W21	0.80928352	0.899203911	0.760515264	0.861342694	0.888986398	0.802858397	0.905033536	0.78471134	0.898169623	0.759324265	0.819845797	0.890146054	0.915689839	0.788409704	0.817871247	0.783677051	0.846831317	0.85839654	0.78881715	0
