Name	Chao1	Goods_coverage	Observed_species	Pielou_e	Shannon	Simpson
wu0102	257.107	0.999961	256.7	0.452375	3.62078	0.810708
wu0103	187.138	0.999972	186.7	0.223064	1.68292	0.318817
wu0104	526.342	0.999919	525.2	0.635639	5.74409	0.943492
wu0105	201.158	0.999975	200.8	0.55925	4.27805	0.861794
wu0106	182.111	0.999985	182	0.724958	5.44284	0.953653
wu0107	586.034	0.999954	585.4	0.609152	5.6001	0.906707
wu0108	273.128	0.999965	272.9	0.369846	2.99288	0.744635
wu0109	514.925	0.999921	513.8	0.60596	5.45671	0.901595
wu0110	122.846	0.999965	122	0.291873	2.0229	0.469237
wu0111	392.009	0.999994	392	0.685967	5.90941	0.952578
wu0112	237.973	0.999983	237.9	0.271396	2.14245	0.431475
wu0113	219.916	0.999933	218.4	0.482965	3.75303	0.856043
wu0114	148.75	0.99996	147.8	0.667055	4.80779	0.922699
wu0115	289.655	0.999943	288.6	0.700751	5.72718	0.957052
wu0116	225.061	0.999959	224.7	0.468666	3.66115	0.845352
wu0117	345.832	0.999941	344.6	0.684684	5.77105	0.954248
wu0118	471.22	0.999961	470.8	0.686131	6.09214	0.96676
wu0119	261.107	0.999978	260.7	0.627778	5.0387	0.888168
wu0120	248.708	0.999942	247.4	0.5886	4.67978	0.872916
wu0121	386.003	0.999956	385.6	0.65684	5.64289	0.955466
