Name	Height	Leaf_length	Panicle_length	Panicle	Seed_Weight	Seed_count	Seed_Weight_per	Haplotype
W2	164	17	20	1	0.1867	1536	0.000121549	O
W3	120	17	23	1	0.9559	3901	0.00024504	O
W4	160	24	24	1	0.512330912	4119	0.000124382	O
W5	140	15	21	1	1.04	3716	0.000279871	O
W6	120	20	20	1	1.0321	3112.30155	0.00033162	P
W7	130	13	20	1	0.2678	2318.268657	0.000115517	O
W8	100	16	0	0	0	0		O
W9	154	19	28	1	1.2972	8520	0.000152254	O
W10	163	14	25	1	1.2367	5055.591203	0.00024462	O
W11	137	31	28	1	0.4046	2547.042033	0.000158851	O
W12	117	28	19	1	0.4388	2853.789855	0.00015376	P
W13	124	17	22	1	0.5783	1927.666667	0.0003	O
W14	146	22	29	1	3.1711	12247.80506	0.000258912	O
W15	142	21	23	1	0.215	1351.092896	0.00015913	P
W16	164	27	28	1	1.0598	5247.009811	0.000201982	O
W17	165	16	20	1	0.5892	2796	0.00021073	O
W18	136	22	22	1	0.5067	3062.560284	0.00016545	P
W19	157	26	21	1	0.3037	1180.160477	0.000257338	P
W20	134	28	20	1	1.0576	5663.148679	0.000186751	O
W21	175	22	30	1	1.1593	11593	0.0001	O
