Name	Longitude	Latitude	TN	TP	pH	EC_re	EC
W2	118.743269	38.049737	0.35	0.26	7.73	12.06666667	0.97
W3	118.742971	38.048971	0.33	0.33	7.51	30.93666667	2.49
W4	118.741996	38.048624	0.54	0.34	8	8.463333333	0.45
W5	118.741853	38.048431	0.37	0.31	7.08	102.42	5.49
W6	118.740554	38.048796	0.25	0.4	7.33	130.0666667	6.47
W7	118.739824	38.049084	0.27	0.48	7.53	5.2	0.25
W8	118.739271	38.049548	0.56	0.48	6.93	15.43666667	0.85
W9	118.739157	38.049342	0.61	0.43	7.55	6.47	0.35
W10	118.738829	38.0493	0.36	0.49	7.47	43.43	3.47
W11	118.738126	38.049476	0.51	0.54	7.39	20.64333333	0.73
W12	118.737654	38.04918	0.38	0.41	7.63	12.59333333	0.5
W13	118.73726	38.049037	0.34	0.47	6.86	125.5333333	5.41
W14	118.734425	38.048875	0.28	0.37	6.74	197.1333333	6.5
W15	118.734924	38.048929	0.38	0.44	7.34	42.25333333	1.66
W16	118.735508	38.049197	0.31	0.27	7.47	24.14333333	1.41
W17	118.736666	38.049457	0.19	0.28	7.17	7.413333333	0.46
W18	118.738708	38.048941	0.33	0.35	8.1	5.496666667	0.2
W19	118.739953	38.04867	0.18	0.29	8.95	18.19	0.8
W20	118.741054	38.04855	0.19	0.39	7.36	23.49	0.24
W21	118.741894	38.049421	0.43	0.26	7.38	9.923333333	1.48
