Source,Target,Type,Id,Label,timeset,Weight,e_correlation
n0,n1,Undirected,0,,,0.982332,0.982332
n0,n5,Undirected,1,,,0.944358,0.944358
n0,n9,Undirected,2,,,0.953618,0.953618
n0,n51,Undirected,3,,,0.913579,0.913579
n0,n61,Undirected,4,,,0.909438,0.909438
n0,n107,Undirected,5,,,0.949178,0.949177
n0,n121,Undirected,6,,,0.913237,0.913237
n0,n150,Undirected,7,,,0.91069,0.91069
n0,n178,Undirected,8,,,0.901464,0.901464
n0,n189,Undirected,9,,,0.901029,0.901029
n0,n229,Undirected,10,,,0.91783,0.91783
n0,n251,Undirected,11,,,0.909442,0.909442
n1,n5,Undirected,12,,,0.927477,0.927477
n1,n61,Undirected,13,,,0.911439,0.911439
n1,n121,Undirected,14,,,0.900136,0.900136
n1,n229,Undirected,15,,,0.919876,0.919876
n2,n19,Undirected,16,,,0.912068,0.912068
n2,n25,Undirected,17,,,0.922271,0.922271
n2,n27,Undirected,18,,,0.906014,0.906014
n2,n33,Undirected,19,,,0.961857,0.961857
n2,n41,Undirected,20,,,0.91464,0.91464
n2,n46,Undirected,21,,,0.918095,0.918095
n2,n47,Undirected,22,,,0.90774,0.90774
n2,n56,Undirected,23,,,0.927213,0.927213
n2,n115,Undirected,24,,,0.908342,0.908342
n2,n127,Undirected,25,,,0.912861,0.912861
n3,n42,Undirected,26,,,0.915378,0.915378
n3,n99,Undirected,27,,,0.900008,0.900008
n4,n15,Undirected,28,,,0.917545,0.917545
n4,n50,Undirected,29,,,0.900924,0.900924
n4,n169,Undirected,30,,,0.900104,-0.900104
n5,n9,Undirected,31,,,0.932778,0.932778
n5,n10,Undirected,32,,,0.935306,0.935306
n5,n16,Undirected,33,,,0.936166,0.936166
n5,n19,Undirected,34,,,0.921605,0.921605
n5,n27,Undirected,35,,,0.93518,0.93518
n5,n41,Undirected,36,,,0.923466,0.923466
n5,n46,Undirected,37,,,0.946617,0.946617
n5,n58,Undirected,38,,,0.901632,0.901632
n5,n61,Undirected,39,,,0.935539,0.935539
n5,n78,Undirected,40,,,0.909406,0.909406
n5,n79,Undirected,41,,,0.902533,0.902533
n5,n107,Undirected,42,,,0.913354,0.913354
n5,n116,Undirected,43,,,0.939795,0.939795
n5,n121,Undirected,44,,,0.942218,0.942218
n5,n127,Undirected,45,,,0.923466,0.923466
n5,n150,Undirected,46,,,0.94244,0.94244
n5,n178,Undirected,47,,,0.911427,0.911427
n5,n189,Undirected,48,,,0.905236,0.905236
n5,n224,Undirected,49,,,0.907215,0.907215
n5,n229,Undirected,50,,,0.95052,0.95052
n5,n251,Undirected,51,,,0.911398,0.911398
n6,n11,Undirected,52,,,0.926754,0.926754
n6,n81,Undirected,53,,,0.904865,0.904865
n7,n181,Undirected,54,,,0.920202,-0.920202
n8,n48,Undirected,55,,,0.981818,0.981818
n8,n102,Undirected,56,,,0.961039,0.961039
n8,n135,Undirected,57,,,0.921027,0.921027
n8,n140,Undirected,58,,,0.968831,0.968831
n8,n166,Undirected,59,,,0.928337,0.928337
n8,n177,Undirected,60,,,0.9259,0.9259
n8,n193,Undirected,61,,,0.956465,0.956465
n9,n19,Undirected,62,,,0.932445,0.932445
n9,n27,Undirected,63,,,0.911192,0.911192
n9,n33,Undirected,64,,,0.934062,0.934062
n9,n37,Undirected,65,,,0.904232,-0.904232
n9,n98,Undirected,66,,,0.901974,0.901974
n9,n105,Undirected,67,,,0.923108,0.923108
n9,n107,Undirected,68,,,0.984704,0.984705
n9,n117,Undirected,69,,,0.901268,0.901268
n9,n150,Undirected,70,,,0.915926,0.915926
n9,n178,Undirected,71,,,0.909466,0.909466
n9,n189,Undirected,72,,,0.90556,0.90556
n9,n200,Undirected,73,,,0.918923,0.918923
n9,n251,Undirected,74,,,0.922825,0.922825
n10,n27,Undirected,75,,,0.923272,0.923272
n10,n46,Undirected,76,,,0.909466,0.909466
n10,n61,Undirected,77,,,0.903675,0.903675
n10,n74,Undirected,78,,,0.904474,0.904474
n10,n121,Undirected,79,,,0.902563,0.902563
n10,n150,Undirected,80,,,0.937834,0.937834
n10,n189,Undirected,81,,,0.927141,0.927141
n10,n212,Undirected,82,,,0.911081,0.911081
n11,n23,Undirected,83,,,0.924201,0.924201
n11,n53,Undirected,84,,,0.914271,0.914271
n12,n52,Undirected,85,,,0.903875,0.903875
n12,n62,Undirected,86,,,0.910401,0.910401
n12,n102,Undirected,87,,,0.913717,0.913717
n12,n140,Undirected,88,,,0.906408,0.906408
n12,n143,Undirected,89,,,0.938286,0.938286
n12,n152,Undirected,90,,,0.968,0.968
n12,n154,Undirected,91,,,0.965714,0.965714
n12,n158,Undirected,92,,,0.93155,0.93155
n12,n176,Undirected,93,,,0.965123,0.965123
n12,n193,Undirected,94,,,0.905778,0.905778
n12,n236,Undirected,95,,,0.952,0.952
n12,n262,Undirected,96,,,0.947429,0.947429
n13,n108,Undirected,97,,,0.924119,0.924119
n14,n212,Undirected,98,,,0.919652,0.919652
n15,n20,Undirected,99,,,0.900453,-0.900453
n16,n25,Undirected,100,,,0.914002,0.914002
n16,n27,Undirected,101,,,0.935444,0.935444
n16,n41,Undirected,102,,,0.975096,0.975096
n16,n46,Undirected,103,,,0.930799,0.930799
n16,n52,Undirected,104,,,0.93802,0.93802
n16,n72,Undirected,105,,,0.917625,0.917625
n16,n78,Undirected,106,,,0.903736,0.903736
n16,n116,Undirected,107,,,0.992337,0.992337
n16,n124,Undirected,108,,,0.936782,0.936782
n16,n127,Undirected,109,,,0.980843,0.980843
n16,n155,Undirected,110,,,0.90613,0.90613
n16,n224,Undirected,111,,,0.951961,0.951961
n16,n229,Undirected,112,,,0.920799,0.920799
n17,n29,Undirected,113,,,0.929721,0.929721
