Id,Label,timeset,v_name,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
n0,n0,,ASV_3,12,11.106195,8,0.279707,0.361757,168.885722,12,0.005397,0,0.5,33,0.390109
n1,n1,,ASV_8,5,4.64126,8,0.263793,0.321359,0,12,0.002403,0,1,10,0.219111
n2,n2,,ASV_11,10,9.191101,7,0.306,0.369406,349.344183,2,0.004984,0,0.466667,21,0.365109
n3,n3,,ASV_14,2,1.815386,10,0.176064,0.200737,152,12,0.002943,0,0,0,0.004369
n4,n4,,ASV_24,3,2.718573,9,0.184332,0.239137,233,28,0.004699,1,0,0,0.005738
n5,n5,,ASV_28,23,21.299134,7,0.338496,0.445705,1846.771039,12,0.009521,0,0.29249,74,0.90241
n6,n6,,ASV_31,2,1.83162,2,0.625,0.7,2,1,0.003333,2,0,0,0.003675
n7,n7,,ASV_33,1,0.920202,1,1,1,0,0,0.003413,3,0,0,0.001081
n8,n8,,ASV_35,7,6.643418,10,0.208731,0.265489,18.927779,23,0.003324,0,0.761905,16,0.116091
n9,n9,,ASV_39,15,13.85208,7,0.295938,0.383909,452.352053,12,0.007177,0,0.32381,34,0.42672
n10,n10,,ASV_44,9,8.254812,7,0.289225,0.362574,259.893641,12,0.00433,0,0.388889,14,0.360511
n11,n11,,ASV_46,3,2.765227,3,0.625,0.766667,4.5,1,0.004983,2,0,0,0.004385
n12,n12,,ASV_50,12,11.20828,9,0.266087,0.346613,842.0472,24,0.004565,0,0.545455,36,0.425709
n13,n13,,ASV_55,1,0.924119,1,1,1,0,15,0.003413,4,0,0,0.001081
n14,n14,,ASV_59,1,0.919652,9,0.236842,0.273488,0,24,0.000876,0,0,0,0.044566
n15,n15,,ASV_61,2,1.817998,10,0.156556,0.195238,79,28,0.003567,1,0,0,0.003152
n16,n16,,ASV_62,14,13.139739,7,0.323467,0.402412,175.811897,2,0.005443,0,0.571429,52,0.739284
n17,n17,,ASV_70,1,0.929721,1,1,1,0,5,0.003413,5,0,0,0.001081
n18,n18,,ASV_72,1,0.914945,8,0.225331,0.253027,0,12,0.000998,0,0,0,0.017692
n19,n19,,ASV_73,8,7.351859,7,0.290323,0.354108,749.781933,12,0.004578,0,0.214286,6,0.204498
n20,n20,,ASV_75,1,0.900453,11,0.135593,0.160433,0,28,0.002028,1,0,0,0.001515
n21,n21,,ASV_77,3,2.795257,8,0.239063,0.278392,302,3,0.002912,0,0.333333,1,0.040888
n22,n22,,ASV_80,4,3.718236,9,0.208731,0.252537,63.866693,24,0.002892,0,0.5,3,0.02497
n23,n23,,ASV_82,2,1.846331,2,0.625,0.7,2,1,0.003333,2,0,0,0.003675
n24,n24,,ASV_88,1,0.923183,1,1,1,0,10,0.003413,6,0,0,0.001081
n25,n25,,ASV_93,10,9.237643,7,0.309717,0.372456,1206.004091,2,0.004743,0,0.533333,24,0.433135
n26,n26,,ASV_99,1,0.917864,1,1,1,0,4,0.003413,7,0,0,0.001081
n27,n27,,ASV_100,17,15.78691,7,0.329741,0.417118,667.235156,2,0.007059,0,0.382353,52,0.720485
n28,n28,,ASV_101,1,0.906576,10,0.159875,0.179565,0,22,0.0017,0,0,0,0.002413
n29,n29,,ASV_103,1,0.929721,1,1,1,0,5,0.003413,5,0,0,0.001081
n30,n30,,ASV_108,1,0.902118,9,0.193182,0.213604,0,2,0.001293,0,0,0,0.004665
n31,n31,,ASV_111,2,1.850094,10,0.171306,0.218636,31.728571,33,0.002446,1,0,0,0.005062
n32,n32,,ASV_112,1,0.909035,1,1,1,0,11,0.003413,8,0,0,0.001081
n33,n33,,ASV_114,15,13.795697,7,0.310976,0.392982,1402.785532,2,0.007478,0,0.266667,28,0.459563
n34,n34,,ASV_117,3,2.809677,11,0.169623,0.201684,302,6,0.003724,0,0.333333,1,0.007012
n35,n35,,ASV_121,5,4.565479,9,0.245586,0.302464,263.426416,24,0.002972,0,0.3,3,0.099926
n36,n36,,ASV_122,1,0.906516,1,1,1,0,7,0.003413,9,0,0,0.001081
