"","x"
"ASV_1",6071
"ASV_2",5395
"ASV_3",5621
"ASV_4",4104
"ASV_5",2919
"ASV_6",2608
"ASV_7",2052
"ASV_8",2311
"ASV_9",1867
"ASV_10",1916
"ASV_11",1576
"ASV_12",1805
"ASV_13",1960
"ASV_14",1555
"ASV_15",1442
"ASV_16",1398
"ASV_17",1449
"ASV_18",1573
"ASV_19",1543
"ASV_20",1510
"ASV_21",1426
"ASV_22",1446
"ASV_23",1249
"ASV_24",1248
"ASV_25",1189
"ASV_26",1254
"ASV_27",954
"ASV_28",1047
"ASV_29",1194
"ASV_30",1047
"ASV_31",981
"ASV_32",976
"ASV_33",1058
"ASV_34",1040
"ASV_35",805
"ASV_36",1071
"ASV_37",889
"ASV_38",891
"ASV_39",951
"ASV_40",1063
"ASV_41",967
"ASV_42",888
"ASV_43",1130
"ASV_44",808
"ASV_45",1049
"ASV_46",871
"ASV_47",885
"ASV_48",1050
"ASV_49",977
"ASV_50",748
"ASV_51",1035
"ASV_52",890
"ASV_53",904
"ASV_54",988
"ASV_55",994
"ASV_56",945
"ASV_57",871
"ASV_58",883
"ASV_59",772
"ASV_60",811
"ASV_61",798
"ASV_62",748
"ASV_63",776
"ASV_64",807
"ASV_65",846
"ASV_66",902
"ASV_67",834
"ASV_68",781
"ASV_69",767
"ASV_70",861
"ASV_71",770
"ASV_72",863
"ASV_73",723
"ASV_74",874
"ASV_75",784
"ASV_76",741
"ASV_77",591
"ASV_78",677
"ASV_79",824
"ASV_80",678
"ASV_81",715
"ASV_82",616
"ASV_83",842
"ASV_84",803
"ASV_85",730
"ASV_86",642
"ASV_87",675
"ASV_88",758
"ASV_89",685
"ASV_90",693
"ASV_91",779
"ASV_92",548
"ASV_93",565
"ASV_94",624
"ASV_96",686
"ASV_97",715
"ASV_98",716
"ASV_99",797
"ASV_100",538
"ASV_101",574
"ASV_102",672
"ASV_103",661
"ASV_105",642
"ASV_106",636
"ASV_107",530
"ASV_108",528
"ASV_109",649
"ASV_110",568
"ASV_111",614
"ASV_112",534
"ASV_113",608
"ASV_114",508
"ASV_115",500
"ASV_116",578
"ASV_117",504
"ASV_118",485
"ASV_119",590
"ASV_120",591
"ASV_121",517
"ASV_122",524
"ASV_123",507
"ASV_124",519
"ASV_125",602
"ASV_126",487
"ASV_127",541
"ASV_128",523
"ASV_129",507
"ASV_130",699
"ASV_131",516
"ASV_132",608
"ASV_133",496
"ASV_134",453
"ASV_135",495
"ASV_136",518
"ASV_137",505
"ASV_138",430
"ASV_139",427
"ASV_140",503
"ASV_141",479
"ASV_142",472
"ASV_143",495
"ASV_144",515
"ASV_145",465
"ASV_146",495
"ASV_147",446
"ASV_148",469
"ASV_150",453
"ASV_151",463
"ASV_152",384
"ASV_153",404
"ASV_154",466
"ASV_155",409
"ASV_156",407
"ASV_157",432
"ASV_158",440
"ASV_159",486
"ASV_160",508
"ASV_161",415
"ASV_162",427
"ASV_163",436
"ASV_164",472
"ASV_165",453
"ASV_166",437
"ASV_167",432
"ASV_168",435
"ASV_169",380
"ASV_170",431
"ASV_171",437
"ASV_172",423
"ASV_173",386
"ASV_174",476
"ASV_175",437
"ASV_176",480
"ASV_177",378
"ASV_178",464
"ASV_179",488
"ASV_180",457
"ASV_181",421
"ASV_182",380
"ASV_183",380
"ASV_184",427
"ASV_185",457
"ASV_186",344
"ASV_187",392
"ASV_188",459
"ASV_189",444
"ASV_190",415
"ASV_191",421
"ASV_192",424
"ASV_193",399
"ASV_194",428
"ASV_195",394
"ASV_196",469
"ASV_197",432
"ASV_198",453
"ASV_199",429
"ASV_200",392
"ASV_201",439
"ASV_202",411
"ASV_203",400
"ASV_204",434
"ASV_205",364
"ASV_206",430
"ASV_207",301
"ASV_208",416
"ASV_209",401
"ASV_210",392
"ASV_211",401
"ASV_213",353
"ASV_214",322
"ASV_215",378
"ASV_217",338
"ASV_219",347
"ASV_220",377
"ASV_221",331
"ASV_222",366
"ASV_223",348
"ASV_224",410
"ASV_225",305
"ASV_226",397
"ASV_227",342
"ASV_228",374
"ASV_229",348
"ASV_230",334
"ASV_231",344
"ASV_232",316
"ASV_233",392
"ASV_234",354
"ASV_235",348
"ASV_236",429
"ASV_237",361
"ASV_238",334
"ASV_239",383
"ASV_240",296
"ASV_241",329
"ASV_243",313
"ASV_244",342
"ASV_245",354
"ASV_246",298
"ASV_247",345
"ASV_248",289
"ASV_249",309
"ASV_250",311
"ASV_251",443
"ASV_252",316
"ASV_253",307
"ASV_254",310
"ASV_255",327
"ASV_256",373
"ASV_257",289
"ASV_258",234
"ASV_259",305
"ASV_260",307
