"","x"
"100",1.31072077846328e-06
"1241",1.31072077846328e-06
"1359",1.31072077846328e-06
"1361",1.31072077846328e-06
"1367",1.31072077846328e-06
"1381",1.31072077846328e-06
"1386",1.31072077846328e-06
"1389",1.31072077846328e-06
"1410",1.31072077846328e-06
"1413",1.31072077846328e-06
"1421",1.31072077846328e-06
"1422",1.31072077846328e-06
"1423",1.31072077846328e-06
"1428",1.31072077846328e-06
"1430",1.31072077846328e-06
"1434",1.31072077846328e-06
"1435",1.31072077846328e-06
"1436",1.31072077846328e-06
"1437",1.31072077846328e-06
"591",1.31072077846328e-06
"638",1.31072077846328e-06
"650",1.31072077846328e-06
"98",1.31072077846328e-06
"1107",2.62144155692657e-06
"1216",2.62144155692657e-06
"1219",2.62144155692657e-06
"1304",2.62144155692657e-06
"1305",2.62144155692657e-06
"1320",2.62144155692657e-06
"1346",2.62144155692657e-06
"1353",2.62144155692657e-06
"1362",2.62144155692657e-06
"1363",2.62144155692657e-06
"1366",2.62144155692657e-06
"1369",2.62144155692657e-06
"1375",2.62144155692657e-06
"1377",2.62144155692657e-06
"1378",2.62144155692657e-06
"1383",2.62144155692657e-06
"1393",2.62144155692657e-06
"1394",2.62144155692657e-06
"1395",2.62144155692657e-06
"1403",2.62144155692657e-06
"1404",2.62144155692657e-06
"1405",2.62144155692657e-06
"1407",2.62144155692657e-06
"1408",2.62144155692657e-06
"1409",2.62144155692657e-06
"1411",2.62144155692657e-06
"1412",2.62144155692657e-06
"1414",2.62144155692657e-06
"1415",2.62144155692657e-06
"1416",2.62144155692657e-06
"1417",2.62144155692657e-06
"1418",2.62144155692657e-06
"1419",2.62144155692657e-06
"1420",2.62144155692657e-06
"1424",2.62144155692657e-06
"1425",2.62144155692657e-06
"1426",2.62144155692657e-06
"1427",2.62144155692657e-06
"1429",2.62144155692657e-06
"1431",2.62144155692657e-06
"1432",2.62144155692657e-06
"1433",2.62144155692657e-06
"1438",2.62144155692657e-06
"1439",2.62144155692657e-06
"1440",2.62144155692657e-06
"1441",2.62144155692657e-06
"1442",2.62144155692657e-06
"167",2.62144155692657e-06
"31",2.62144155692657e-06
"392",2.62144155692657e-06
"401",2.62144155692657e-06
"414",2.62144155692657e-06
"499",2.62144155692657e-06
"672",2.62144155692657e-06
"758",2.62144155692657e-06
"909",2.62144155692657e-06
"997",2.62144155692657e-06
"1009",3.93216233538985e-06
"1018",3.93216233538985e-06
"1128",3.93216233538985e-06
"1178",3.93216233538985e-06
"1270",3.93216233538985e-06
"1294",3.93216233538985e-06
"1307",3.93216233538985e-06
"1309",3.93216233538985e-06
"1311",3.93216233538985e-06
"1324",3.93216233538985e-06
"1326",3.93216233538985e-06
"1330",3.93216233538985e-06
"1331",3.93216233538985e-06
"1333",3.93216233538985e-06
"1334",3.93216233538985e-06
"1335",3.93216233538985e-06
"1336",3.93216233538985e-06
"1337",3.93216233538985e-06
"1338",3.93216233538985e-06
"1339",3.93216233538985e-06
"1344",3.93216233538985e-06
"1347",3.93216233538985e-06
"1350",3.93216233538985e-06
"1352",3.93216233538985e-06
"1354",3.93216233538985e-06
"1357",3.93216233538985e-06
"1358",3.93216233538985e-06
"1360",3.93216233538985e-06
"1364",3.93216233538985e-06
"1365",3.93216233538985e-06
"1368",3.93216233538985e-06
"1370",3.93216233538985e-06
"1371",3.93216233538985e-06
"1372",3.93216233538985e-06
"1373",3.93216233538985e-06
"1374",3.93216233538985e-06
"1376",3.93216233538985e-06
"1379",3.93216233538985e-06
"1380",3.93216233538985e-06
"1382",3.93216233538985e-06
"1384",3.93216233538985e-06
"1385",3.93216233538985e-06
"1387",3.93216233538985e-06
"1388",3.93216233538985e-06
"1390",3.93216233538985e-06
"1391",3.93216233538985e-06
"1392",3.93216233538985e-06
"1396",3.93216233538985e-06
"1397",3.93216233538985e-06
"1398",3.93216233538985e-06
"1399",3.93216233538985e-06
"1400",3.93216233538985e-06
"1401",3.93216233538985e-06
"1402",3.93216233538985e-06
"1406",3.93216233538985e-06
"814",3.93216233538985e-06
"892",3.93216233538985e-06
"1004",5.24288311385314e-06
"1127",5.24288311385314e-06
"1129",5.24288311385314e-06
"1164",5.24288311385314e-06
"1176",5.24288311385314e-06
"1188",5.24288311385314e-06
"1236",5.24288311385314e-06
"1242",5.24288311385314e-06
"1249",5.24288311385314e-06
"1253",5.24288311385314e-06
"1268",5.24288311385314e-06
"1269",5.24288311385314e-06
"1276",5.24288311385314e-06
"1280",5.24288311385314e-06
"1291",5.24288311385314e-06
"1298",5.24288311385314e-06
"1300",5.24288311385314e-06
"1301",5.24288311385314e-06
"1306",5.24288311385314e-06
"1308",5.24288311385314e-06
"1310",5.24288311385314e-06
"1313",5.24288311385314e-06
"1317",5.24288311385314e-06
"1318",5.24288311385314e-06
"1319",5.24288311385314e-06
"1323",5.24288311385314e-06
"1325",5.24288311385314e-06
"1327",5.24288311385314e-06
"1328",5.24288311385314e-06
"1329",5.24288311385314e-06
"1332",5.24288311385314e-06
"1340",5.24288311385314e-06
"1341",5.24288311385314e-06
"1342",5.24288311385314e-06
"1343",5.24288311385314e-06
"1345",5.24288311385314e-06
"1348",5.24288311385314e-06
"1349",5.24288311385314e-06
"1351",5.24288311385314e-06
"1355",5.24288311385314e-06
"1356",5.24288311385314e-06
"220",5.24288311385314e-06
"311",5.24288311385314e-06
"464",5.24288311385314e-06
"741",5.24288311385314e-06
"913",5.24288311385314e-06
"955",5.24288311385314e-06
"1005",6.55360389231642e-06
"1160",6.55360389231642e-06
"1161",6.55360389231642e-06
"1162",6.55360389231642e-06
"1174",6.55360389231642e-06
"1187",6.55360389231642e-06
"1194",6.55360389231642e-06
"1209",6.55360389231642e-06
"1210",6.55360389231642e-06
"1213",6.55360389231642e-06
"1223",6.55360389231642e-06
"1226",6.55360389231642e-06
"1235",6.55360389231642e-06
"1240",6.55360389231642e-06
"1245",6.55360389231642e-06
"1246",6.55360389231642e-06
"1248",6.55360389231642e-06
"1250",6.55360389231642e-06
"1251",6.55360389231642e-06
"1259",6.55360389231642e-06
"1264",6.55360389231642e-06
"1271",6.55360389231642e-06
"1275",6.55360389231642e-06
"1281",6.55360389231642e-06
"1285",6.55360389231642e-06
"1288",6.55360389231642e-06
"1289",6.55360389231642e-06
"1290",6.55360389231642e-06
"1295",6.55360389231642e-06
"1296",6.55360389231642e-06
"1297",6.55360389231642e-06
"1299",6.55360389231642e-06
"1302",6.55360389231642e-06
"1303",6.55360389231642e-06
"1312",6.55360389231642e-06
"1314",6.55360389231642e-06
"1315",6.55360389231642e-06
"1316",6.55360389231642e-06
"1321",6.55360389231642e-06
"1322",6.55360389231642e-06
"640",6.55360389231642e-06
"708",6.55360389231642e-06
"765",6.55360389231642e-06
"877",6.55360389231642e-06
"893",6.55360389231642e-06
"1090",7.86432467077971e-06
"1169",7.86432467077971e-06
"1170",7.86432467077971e-06
"1171",7.86432467077971e-06
"1195",7.86432467077971e-06
"1200",7.86432467077971e-06
"1201",7.86432467077971e-06
"1211",7.86432467077971e-06
"1212",7.86432467077971e-06
"1214",7.86432467077971e-06
"1220",7.86432467077971e-06
"1224",7.86432467077971e-06
"1227",7.86432467077971e-06
"1228",7.86432467077971e-06
"1230",7.86432467077971e-06
"1232",7.86432467077971e-06
"1237",7.86432467077971e-06
"1238",7.86432467077971e-06
"1243",7.86432467077971e-06
"1252",7.86432467077971e-06
"1256",7.86432467077971e-06
"1260",7.86432467077971e-06
"1261",7.86432467077971e-06
"1262",7.86432467077971e-06
"1263",7.86432467077971e-06
